transaction_id,items
1,"Chocolate, Beef, Juice, Rice, Oranges"
2,"Milk, Yogurt, Salt"
3,"Cheese, Coffee, Tomatoes, Milk, Oranges"
4,"Pasta, Butter, Yogurt, Bread, Cheese, Grapes"
5,"Tomatoes, Juice"
6,"Milk, Soda, Carrots"
7,"Chicken, Bread, Flour, Butter"
8,"Tea, Carrots"
9,"Pasta, Coffee, Tea, Biscuits, Salt, Bananas, Apples"
10,"Bananas, Chicken"
11,"Chicken, Oil"
12,"Rice, Sugar"
13,"Coffee, Pasta, Butter, Soda, Tomatoes, Potatoes, Oil"
14,"Cheese, Pasta"
15,"Cereal, Bread, Rice, Juice, Eggs, Oranges, Oil"
16,"Chocolate, Tea, Butter, Eggs, Rice"
17,"Tomatoes, Eggs, Oranges"
18,"Yogurt, Grapes, Apples"
19,"Coffee, Soda, Yogurt, Chocolate, Beef"
20,"Bread, Cereal, Tomatoes, Grapes"
21,"Milk, Tea, Bananas, Bread, Yogurt"
22,"Salt, Beef"
23,"Chicken, Fish, Soda, Butter"
24,"Bananas, Fish, Potatoes, Cereal, Bread, Soda"
25,"Juice, Grapes, Pasta, Chocolate, Beef"
26,"Beef, Butter, Grapes, Juice"
27,"Chocolate, Soda, Beef, Oil, Tea, Eggs"
28,"Oranges, Potatoes, Flour, Bananas, Milk"
29,"Chicken, Sugar, Milk, Beef, Cereal"
30,"Potatoes, Butter, Bananas, Flour"
31,"Beef, Oranges, Grapes"
32,"Tea, Biscuits"
33,"Oil, Chocolate, Soda"
34,"Apples, Chocolate, Carrots"
35,"Oil, Chicken"
36,"Sugar, Grapes, Apples, Beef, Tea, Potatoes, Butter"
37,"Cereal, Tomatoes, Chocolate, Tea"
38,"Soda, Onions, Eggs, Chocolate"
39,"Oil, Coffee, Salt, Eggs, Oranges, Milk"
40,"Flour, Chicken, Bread, Eggs, Rice"
41,"Onions, Flour, Coffee, Chocolate"
42,"Tea, Bread, Butter, Chicken, Beef, Cheese"
43,"Cheese, Soda, Beef, Oranges"
44,"Oranges, Rice, Chocolate"
45,"Potatoes, Cereal"
46,"Biscuits, Beef, Milk"
47,"Chicken, Bananas, Milk"
48,"Oranges, Onions, Tea, Cereal, Cheese, Biscuits"
49,"Butter, Cheese, Yogurt, Carrots, Tea"
50,"Potatoes, Salt, Sugar, Milk, Oil, Eggs, Tea"
51,"Cheese, Juice, Grapes"
52,"Carrots, Rice, Sugar, Juice"
53,"Potatoes, Pasta, Oranges"
54,"Chocolate, Beef"
55,"Apples, Bananas, Salt"
56,"Milk, Potatoes, Yogurt, Apples, Coffee, Tea"
57,"Butter, Apples, Oranges, Milk"
58,"Chicken, Coffee, Onions, Biscuits"
59,"Milk, Sugar, Rice, Chocolate, Tomatoes, Chicken"
60,"Bananas, Salt"
61,"Salt, Tea, Coffee, Soda, Grapes"
62,"Sugar, Biscuits, Grapes"
63,"Soda, Flour, Grapes, Salt, Coffee"
64,"Juice, Eggs, Tomatoes, Cheese"
65,"Cereal, Milk, Chocolate"
66,"Soda, Chicken, Milk, Fish"
67,"Biscuits, Tomatoes, Yogurt, Potatoes"
68,"Salt, Beef, Tomatoes"
69,"Tea, Grapes, Beef, Salt, Pasta"
70,"Fish, Apples, Coffee"
71,"Cereal, Chicken"
72,"Fish, Soda, Eggs, Butter, Tomatoes, Pasta, Tea"
73,"Cereal, Bananas"
74,"Biscuits, Carrots, Flour, Tea, Butter, Beef, Salt"
75,"Coffee, Flour, Milk, Juice"
76,"Onions, Oranges, Grapes, Fish"
77,"Beef, Eggs, Chicken, Bread, Oil, Pasta, Oranges"
78,"Chicken, Yogurt, Biscuits"
79,"Bananas, Soda, Sugar, Oil, Onions, Butter"
80,"Fish, Chicken, Tea"
81,"Cereal, Salt, Chocolate, Beef"
82,"Oranges, Eggs, Fish, Chocolate, Carrots, Grapes, Beef"
83,"Salt, Tea, Potatoes"
84,"Juice, Pasta, Tea, Fish"
85,"Milk, Beef"
86,"Salt, Grapes"
87,"Tea, Pasta, Butter"
88,"Carrots, Pasta, Cereal, Coffee, Onions"
89,"Flour, Oranges, Butter, Yogurt, Beef, Biscuits"
90,"Oil, Biscuits, Chocolate, Eggs"
91,"Tea, Apples"
92,"Grapes, Beef, Cereal, Milk, Yogurt"
93,"Carrots, Juice, Grapes, Butter, Fish, Beef"
94,"Biscuits, Tea"
95,"Bread, Rice, Potatoes, Chocolate, Milk"
96,"Tomatoes, Milk, Salt, Coffee, Oranges"
97,"Chocolate, Bananas"
98,"Onions, Bananas, Oranges, Chicken"
99,"Tomatoes, Milk, Pasta, Cheese, Bread, Potatoes, Rice"
100,"Juice, Oil, Tea, Chocolate, Carrots, Potatoes"
101,"Eggs, Flour, Cheese, Potatoes"
102,"Carrots, Potatoes, Fish, Biscuits, Oranges, Cereal"
103,"Beef, Salt, Pasta, Rice, Coffee, Potatoes"
104,"Chocolate, Coffee, Tea, Cereal, Cheese, Sugar"
105,"Rice, Bananas, Fish, Coffee, Chicken"
106,"Potatoes, Apples, Grapes, Cereal, Milk, Soda, Beef"
107,"Grapes, Cereal, Sugar"
108,"Pasta, Rice, Tomatoes, Cheese"
109,"Bread, Rice, Apples, Tomatoes, Milk, Cheese, Flour"
110,"Onions, Juice, Biscuits, Grapes, Apples"
111,"Yogurt, Apples, Grapes, Juice, Cereal, Bananas"
112,"Tea, Fish, Grapes, Cheese, Milk"
113,"Cheese, Bread, Apples, Beef, Chicken, Soda, Oranges"
114,"Sugar, Bread, Onions, Tea, Yogurt, Beef"
115,"Tomatoes, Yogurt"
116,"Salt, Bananas"
117,"Beef, Sugar, Onions, Bananas"
118,"Onions, Bananas, Sugar, Carrots"
119,"Oranges, Bananas, Milk, Bread, Salt"
120,"Oil, Carrots, Milk, Onions, Pasta, Tea"
121,"Fish, Soda, Grapes, Oranges, Cheese, Sugar, Rice"
122,"Rice, Cereal, Sugar, Beef, Oil"
123,"Bread, Juice, Onions"
124,"Tea, Yogurt, Salt, Butter, Milk, Apples, Soda"
